system:index,LST_jour_C,LST_nuit_C,amplitude_C,annee,date,jour,mois,source,zone,.geo
1_1_1_1_1_1_1_1_2_2000_06_13,-9999,-9999,-9999,2000,2000-06-13,13,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_14,26.963701883701958,17.7263037906381,9.23739809306386,2000,2000-06-14,14,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_15,29.004604735883447,-9999,-9999,2000,2000-06-15,15,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_16,37.22847083189504,22.45117880566096,14.777292026234079,2000,2000-06-16,16,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_17,28.74486192613051,-9999,-9999,2000,2000-06-17,17,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_18,37.30781512605034,20.766293260473617,16.541521865576726,2000,2000-06-18,18,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_19,32.51064926022633,18.693417328270698,13.817231931955632,2000,2000-06-19,19,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_20,36.39757276368488,20.222430953851585,16.175141809833292,2000,2000-06-20,20,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_21,33.60891906005213,-9999,-9999,2000,2000-06-21,21,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_22,32.54040180586901,20.270002573009208,12.270399232859802,2000,2000-06-22,22,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_23,35.3968190537085,20.19278246062146,15.20403659308704,2000,2000-06-23,23,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_24,28.51520756654969,-9999,-9999,2000,2000-06-24,24,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_25,32.847156526448714,17.47010883709919,15.377047689349524,2000,2000-06-25,25,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_26,30.150604735883462,17.170429300823173,12.98017543506029,2000,2000-06-26,26,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_27,-9999,-9999,-9999,2000,2000-06-27,27,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_28,31.00458829427248,22.128882172232693,8.875706122039787,2000,2000-06-28,28,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2000_06_29,33.95434836318702,21.766570127504508,12.187778235682515,2000,2000-06-29,29,6,MODIS_LST,centre_ville,"{""type"":""MultiPoint"",""coordinates"":[]}"
